ID,Film Title,Film URL,Film Author
1,Bossmanjack wins $6k on roulette. Will he.. n/m he loses it all. #gaming #twitch,https://www.youtube.com/watch?v=XF9OjwNTA3E,BossManCrack
2,"Another Episode of ""I Just Lost It All"" - Epic BossmanJack Keno Rage",https://www.youtube.com/watch?v=4s27l2nwTvY,LOSSManJack
3,bossmanjack door lore,https://www.youtube.com/watch?v=Gm6LIxO8FSM,ContentGoblin
4,Bossmanjack Rage Compilation 2023,https://www.youtube.com/watch?v=4IuH7zNZg-k,BossManLacks
5,BossmanJack Breaks Down Crying When Dope Bender Ends - This is Ruining My Life (pt.2),https://www.youtube.com/watch?v=ENPU19zh-Jc,Austin_07 Schadenfreude
6,"BossmanJack Dragon Sickness - Losing over 12k, Rants About Rigged Gambling and a Ruined Life",https://www.youtube.com/watch?v=L1-OGnK8O68,Austin_07 Schadenfreude
7,BossmanJack Ridicules BJ Dealer For Laughing At Him + Huge Meltdown,https://www.youtube.com/watch?v=gRfC-IU9k6I,Colonel Rat
8,"BossmanJack Loses $14,000 ""Quits Streaming"" & Deletes Discord",https://www.youtube.com/watch?v=tHEBMV8Dros,Colonel Rat
9,BossManJack Losses 2k In Minutes,https://www.youtube.com/watch?v=9iWGAfZrIL4,BossManLacks
10,BossmanJack wall kick & chair spike (9/14/23),https://www.youtube.com/watch?v=OAKYWrl6Zgg,Door Repairman
11,bossmanjack DESTROYS keyboard,https://www.youtube.com/watch?v=4JNjd9rUHJU,ContentGoblin
12,bossmanjack loses $300 donation in 5 minutes and freaks out,https://www.youtube.com/watch?v=4ke6awD9KRQ,ContentGoblin
13,BossmanJack Destroys Parent's Property Again - Pure Addiction Withdrawal Desperate for Quick Money,https://www.youtube.com/watch?v=qVcLlPqdlYw,Austin_07 Schadenfreude
14,Austin_07 Trash Talks Troll Viewers - Losing on Plinko/Dice BossmanJack Clench Jaw,https://www.youtube.com/watch?v=MIg7fCDQo4k,Austin_07 Schadenfreude
